Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Epitheca princeps,Epitheca_princeps,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Hutchinson, 1977)",,,
Erythemis simplicicollis,Erythemis_simplicicollis,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(McVey, 1988)",,,
Erythromma lindenii,Erythromma_lindenii,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Hemicordulia ogasawarensis,Hemicordulia_ogasawarensis,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Sakagami et al., 1974)",,,
Hetaerina americana,Hetaerina_americana,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Grether, 1996)",,,
Hetaerina miniata,Hetaerina_miniata,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Ictinogomphus ferox,Ictinogomphus_ferox,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Miller, 1964)",,,
Ladona julia,Ladona_julia,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Hilton, 1983b)",,,
Leucorrhinia caudalis,Leucorrhinia_caudalis,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Pajunen, 1964)",,,
Leucorrhinia frigida,Leucorrhinia_frigida,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Singer, 1989)",,,
Leucorrhinia hudsonica,Leucorrhinia_hudsonica,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Leucorrhinia intacta,Leucorrhinia_intacta,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Singer, 1989)",,,
Leucorrhinia proxima,Leucorrhinia_proxima,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Singer, 1989)",,,
Libellago aurantiaca,Libellago_aurantiaca,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Libellago hyalina,Libellago_hyalina,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Libellago semiopaca,Libellago_semiopaca,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Orr, 1996)",,,
Libellula pulchella,Libellula_pulchella,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Lindenia tetraphylla,Lindenia_tetraphylla,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Dumont, 1977)",,,
Macromia amphigena,Macromia_amphigena,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Koyama, 1976)",,,
Microstigma rotundatum,Microstigma_rotundatum,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(De Marmels, 1989)",,,
