Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Neoneura luzmarina,Neoneura_luzmarina,,,,,,,,,,,,,Least Concern,,,,,,
Neoneura moorei,Neoneura_moorei,,,,,,,,,,,,,Data Deficient,,,,,,
Oreiallagma thelkterion,Oreiallagma_thelkterion,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion basale,Oxyagrion_basale,,,,,,,,,,,,,Data Deficient,,,,,,
Oxyagrion chapadense,Oxyagrion_chapadense,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion evanescens,Oxyagrion_evanescens,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion fernandoi,Oxyagrion_fernandoi,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion haematinum,Oxyagrion_haematinum,,,,,,,,,,,,,Vulnerable,,,,,,
Oxyagrion hempeli,Oxyagrion_hempeli,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion imeriense,Oxyagrion_imeriense,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion microstigma,Oxyagrion_microstigma,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion mirnae,Oxyagrion_mirnae,,,,,,,,,,,,,Data Deficient,,,,,,
Oxyagrion pavidum,Oxyagrion_pavidum,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion pseudocardinale,Oxyagrion_pseudocardinale,,,,,,,,,,,,,Data Deficient,,,,,,
Oxyagrion rubidum,Oxyagrion_rubidum,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion santosi,Oxyagrion_santosi,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion simile,Oxyagrion_simile,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion sulmatogrossense,Oxyagrion_sulmatogrossense,,,,,,,,,,,,,Least Concern,,,,,,
Oxyagrion zielmae,Oxyagrion_zielmae,,,,,,,,,,,,,Data Deficient,,,,,,
Peristicta aeneoviridis,Peristicta_aeneoviridis,,,,,,,,,,,,,Least Concern,,,,,,
Peristicta forceps,Peristicta_forceps,,,,,,,,,,,,,Least Concern,,,,,,
Peristicta guarellae,Peristicta_guarellae,,,,,,,,,,,,,Data Deficient,,,,,,
Peristicta jalmosi,Peristicta_jalmosi,,,,,,,,,,,,,Least Concern,,,,,,
Peristicta janiceae,Peristicta_janiceae,,,,,,,,,,,,,Least Concern,,,,,,
Peristicta muzoni,Peristicta_muzoni,,,,,,,,,,,,,Data Deficient,,,,,,
Protoneura ailsa,Protoneura_ailsa,,,,,,,,,,,,,Near Threatened,,,,,,
Protoneura corculum,Protoneura_corculum,,,,,,,,,,,,,Least Concern,,,,,,
Protoneura peramans,Protoneura_peramans,,,,,,,,,,,,,Least Concern,,,,,,
Protoneura romanae,Protoneura_romanae,,,,,,,,,,,,,Near Threatened,,,,,,
Protoneura viridis,Protoneura_viridis,,,,,,,,,,,,,Least Concern,,,,,,
Psaironeura selvatica,Psaironeura_selvatica,,,,,,,,,,,,,Least Concern,,,,,,
Pseudostigma aberrans,Pseudostigma_aberrans,,,,,,,,,,,,,Least Concern,,,,,,
Pseudostigma accedens,Pseudostigma_accedens,,,,,,,,,,,,,Least Concern,,,,,,
Telebasis aurea,Telebasis_aurea,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis celiovallei,Telebasis_celiovallei,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis collopistes,Telebasis_collopistes,,,,,,,,,,,,,Least Concern,,,,,,
Telebasis corbeti,Telebasis_corbeti,,,,,,,,,,,,,Least Concern,,,,,,
Telebasis divaricata,Telebasis_divaricata,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis dominicana,Telebasis_dominicana,,,,,,,,,,,,,Least Concern,,,,,,
Telebasis lenkoi,Telebasis_lenkoi,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis luizae,Telebasis_luizae,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis myrianae,Telebasis_myrianae,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis pallida,Telebasis_pallida,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis pataxo,Telebasis_pataxo,,,,,,,,,,,,,Data Deficient,,,,,,
Telebasis vulnerata,Telebasis_vulnerata,,,,,,,,,,,,,Least Concern,,,,,,
Tepuibasis chimantai,Tepuibasis_chimantai,,,,,,,,,,,,,Data Deficient,,,,,,
Tepuibasis neblinae,Tepuibasis_neblinae,,,,,,,,,,,,,Least Concern,,,,,,
Tepuibasis nigra,Tepuibasis_nigra,,,,,,,,,,,,,Data Deficient,,,,,,
Tepuibasis rubicunda,Tepuibasis_rubicunda,,,,,,,,,,,,,Data Deficient,,,,,,
Tepuibasis thea,Tepuibasis_thea,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis arara,Tuberculobasis_arara,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis geijskesi,Tuberculobasis_geijskesi,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis guarani,Tuberculobasis_guarani,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis karitiana,Tuberculobasis_karitiana,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis macuxi,Tuberculobasis_macuxi,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis tirio,Tuberculobasis_tirio,,,,,,,,,,,,,Data Deficient,,,,,,
Tuberculobasis yanomami,Tuberculobasis_yanomami,,,,,,,,,,,,,Least Concern,,,,,,
Tukanobasis corbeti,Tukanobasis_corbeti,,,,,,,,,,,,,Data Deficient,,,,,,
Cordulegaster virginiae,Cordulegaster_virginiae,,,,,,,,,,,,,Data Deficient,,,,,,
Cordulisantosia machadoi,Cordulisantosia_machadoi,,,,,,,,,,,,,Data Deficient,,,,,,
Cordulisantosia marshalli,Cordulisantosia_marshalli,,,,,,,,,,,,,Data Deficient,,,,,,
Cordulisantosia newtoni,Cordulisantosia_newtoni,,,,,,,,,,,,,Data Deficient,,,,,,
Navicordulia aemulatrix,Navicordulia_aemulatrix,,,,,,,,,,,,,Data Deficient,,,,,,
Navicordulia kiautai,Navicordulia_kiautai,,,,,,,,,,,,,Data Deficient,,,,,,
Navicordulia leptostyla,Navicordulia_leptostyla,,,,,,,,,,,,,Data Deficient,,,,,,
Navicordulia longistyla,Navicordulia_longistyla,,,,,,,,,,,,,Data Deficient,,,,,,
Navicordulia mielkei,Navicordulia_mielkei,,,,,,,,,,,,,Vulnerable,,,,,,
Navicordulia miersi,Navicordulia_miersi,,,,,,,,,,,,,Data Deficient,,,,,,
Agriogomphus ericae,Agriogomphus_ericae,,,,,,,,,,,,,Least Concern,,,,,,
Agriogomphus tumens,Agriogomphus_tumens,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla alia,Aphylla_alia,,,,,,,,,,,,,Data Deficient,,,,,,
Aphylla caraiba,Aphylla_caraiba,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla caudalis,Aphylla_caudalis,,,,,,,,,,,,,Data Deficient,,,,,,
Aphylla dentata,Aphylla_dentata,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla distinguenda,Aphylla_distinguenda,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla exilis,Aphylla_exilis,,,,,,,,,,,,,Data Deficient,,,,,,
Aphylla janirae,Aphylla_janirae,,,,,,,,,,,,,Data Deficient,,,,,,
Aphylla linea,Aphylla_linea,,,,,,,,,,,,,Data Deficient,,,,,,
Aphylla molossus,Aphylla_molossus,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla scapula,Aphylla_scapula,,,,,,,,,,,,,Data Deficient,,,,,,
Archaeogomphus globulus,Archaeogomphus_globulus,,,,,,,,,,,,,Data Deficient,,,,,,
Archaeogomphus nanus,Archaeogomphus_nanus,,,,,,,,,,,,,Least Concern,,,,,,
Archaeogomphus vanbrinkae,Archaeogomphus_vanbrinkae,,,,,,,,,,,,,Data Deficient,,,,,,
Brasiliogomphus uniseries,Brasiliogomphus_uniseries,,,,,,,,,,,,,Data Deficient,,,,,,
Cyanogomphus angelomachadoi,Cyanogomphus_angelomachadoi,,,,,,,,,,,,,Least Concern,,,,,,
Cyanogomphus comparabilis,Cyanogomphus_comparabilis,,,,,,,,,,,,,Data Deficient,,,,,,
Desmogomphus tigrivensis,Desmogomphus_tigrivensis,,,,,,,,,,,,,Least Concern,,,,,,
Diaphlebia nexans,Diaphlebia_nexans,,,,,,,,,,,,,Least Concern,,,,,,
Epigomphus bosquenuboso,Epigomphus_bosquenuboso,,,,,,,,,,,,,Vulnerable,,,,,,
Epigomphus jannyae,Epigomphus_jannyae,,,,,,,,,,,,,Data Deficient,,,,,,
Epigomphus morrisoni,Epigomphus_morrisoni,,,,,,,,,,,,,Critically Endangered,,,,,,
Epigomphus subobtusus,Epigomphus_subobtusus,,,,,,,,,,,,,Least Concern,,,,,,
Epigomphus tumefactus,Epigomphus_tumefactus,,,,,,,,,,,,,Least Concern,,,,,,
Epigomphus wagneri,Epigomphus_wagneri,,,,,,,,,,,,,Critically Endangered,,,,,,
Erpetogomphus elaphe,Erpetogomphus_elaphe,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus ophibolus,Erpetogomphus_ophibolus,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus oxybelis,Erpetogomphus_oxybelis,,,,,,,,,,,,,Data Deficient,,,,,,
Erpetogomphus schausi,Erpetogomphus_schausi,,,,,,,,,,,,,Data Deficient,,,,,,
Neogomphus molestus,Neogomphus_molestus,,,,,,,,,,,,,Least Concern,,,,,,
Phyllocycla propinqua,Phyllocycla_propinqua,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus aberrans,Progomphus_aberrans,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus basistictus,Progomphus_basistictus,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus clendoni,Progomphus_clendoni,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus guyanensis,Progomphus_guyanensis,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus integer,Progomphus_integer,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus lepidus,Progomphus_lepidus,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus longistigma,Progomphus_longistigma,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus microcephalus,Progomphus_microcephalus,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus perithemoides,Progomphus_perithemoides,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus polygonus,Progomphus_polygonus,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus racenisi,Progomphus_racenisi,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus recticarinatus,Progomphus_recticarinatus,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus tibialis,Progomphus_tibialis,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus victor,Progomphus_victor,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus virginiae,Progomphus_virginiae,,,,,,,,,,,,,Data Deficient,,,,,,
Progomphus zonatus,Progomphus_zonatus,,,,,,,,,,,,,Least Concern,,,,,,
Zonophora diversa,Zonophora_diversa,,,,,,,,,,,,,Data Deficient,,,,,,
Zonophora solitaria,Zonophora_solitaria,,,,,,,,,,,,,Least Concern,,,,,,
Zonophora wucherpfennigi,Zonophora_wucherpfennigi,,,,,,,,,,,,,Least Concern,,,,,,
Heteragrion ovatum,Heteragrion_ovatum,,,,,,,,,,,,,Data Deficient,,,,,,
Oxystigma caerulans,Oxystigma_caerulans,,,,,,,,,,,,,Least Concern,,,,,,
Oxystigma cyanofrons,Oxystigma_cyanofrons,,,,,,,,,,,,,Least Concern,,,,,,
Lauromacromia bedei,Lauromacromia_bedei,,,,,,,,,,,,,Data Deficient,,,,,,
Lauromacromia luismoojeni,Lauromacromia_luismoojeni,,,,,,,,,,,,,Data Deficient,,,,,,
Lauromacromia melanica,Lauromacromia_melanica,,,,,,,,,,,,,Data Deficient,,,,,,
Lauromacromia picinguaba,Lauromacromia_picinguaba,,,,,,,,,,,,,Least Concern,,,,,,
Neocordulia biancoi,Neocordulia_biancoi,,,,,,,,,,,,,Least Concern,,,,,,
Neocordulia campana,Neocordulia_campana,,,,,,,,,,,,,Endangered,,,,,,
Neocordulia carlochagasi,Neocordulia_carlochagasi,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia fiorentini,Neocordulia_fiorentini,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia gaucha,Neocordulia_gaucha,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia machadoi,Neocordulia_machadoi,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia matutuensis,Neocordulia_matutuensis,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia pedroi,Neocordulia_pedroi,,,,,,,,,,,,,Data Deficient,,,,,,
Neocordulia santacatarinensis,Neocordulia_santacatarinensis,,,,,,,,,,,,,Data Deficient,,,,,,
Lestes bipupillatus,Lestes_bipupillatus,,,,,,,,,,,,,Least Concern,,,,,,
Lestes minutus,Lestes_minutus,,,,,,,,,,,,,Least Concern,,,,,,
Lestes scalaris,Lestes_scalaris,,,,,,,,,,,,,Data Deficient,,,,,,
Lestes spatula,Lestes_spatula,,,,,,,,,,,,,Least Concern,,,,,,
Lestes tricolor,Lestes_tricolor,,,,,,,,,,,,,Least Concern,,,,,,
Carajathemis simone,Carajathemis_simone,,,,,,,,,,,,,Data Deficient,,,,,,
Dasythemis venosa,Dasythemis_venosa,,,,,,,,,,,,,Least Concern,,,,,,
Dythemis rufinervis,Dythemis_rufinervis,,,,,,,,,,,,,Least Concern,,,,,,
Garrisonia aurindae,Garrisonia_aurindae,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis absimilis,Macrothemis_absimilis,,,,,,,,,,,,,Least Concern,,,,,,
Macrothemis delia,Macrothemis_delia,,,,,,,,,,,,,Least Concern,,,,,,
Macrothemis fallax,Macrothemis_fallax,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis guarauno,Macrothemis_guarauno,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis hosanai,Macrothemis_hosanai,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis newtoni,Macrothemis_newtoni,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis nobilis,Macrothemis_nobilis,,,,,,,,,,,,,Data Deficient,,,,,,
Macrothemis proterva,Macrothemis_proterva,,,,,,,,,,,,,Data Deficient,,,,,,
Micrathyria almeidai,Micrathyria_almeidai,,,,,,,,,,,,,Least Concern,,,,,,
Micrathyria debilis,Micrathyria_debilis,,,,,,,,,,,,,Least Concern,,,,,,
Micrathyria eximia,Micrathyria_eximia,,,,,,,,,,,,,Least Concern,,,,,,
Micrathyria hesperis,Micrathyria_hesperis,,,,,,,,,,,,,Least Concern,,,,,,
Nephepeltia berlai,Nephepeltia_berlai,,,,,,,,,,,,,Least Concern,,,,,,
Oligoclada borrori,Oligoclada_borrori,,,,,,,,,,,,,Least Concern,,,,,,
Oligoclada calverti,Oligoclada_calverti,,,,,,,,,,,,,Data Deficient,,,,,,
Oligoclada mortis,Oligoclada_mortis,,,,,,,,,,,,,Endangered,,,,,,
Oligoclada waikinimae,Oligoclada_waikinimae,,,,,,,,,,,,,Data Deficient,,,,,,
Orthemis ambirufa,Orthemis_ambirufa,,,,,,,,,,,,,Least Concern,,,,,,
Orthemis garrisoni,Orthemis_garrisoni,,,,,,,,,,,,,Data Deficient,,,,,,
Orthemis levis,Orthemis_levis,,,,,,,,,,,,,Least Concern,,,,,,
Perithemis capixaba,Perithemis_capixaba,,,,,,,,,,,,,Data Deficient,,,,,,
Planiplax phoenicura,Planiplax_phoenicura,,,,,,,,,,,,,Least Concern,,,,,,
Scapanea frontalis,Scapanea_frontalis,,,,,,,,,,,,,Least Concern,,,,,,
Tauriphila xiphea,Tauriphila_xiphea,,,,,,,,,,,,,Least Concern,,,,,,
Uracis turrialba,Uracis_turrialba,,,,,,,,,,,,,Data Deficient,,,,,,
Teinopodagrion lepidum,Teinopodagrion_lepidum,,,,,,,,,,,,,Data Deficient,,,,,,
Philogenia augusti,Philogenia_augusti,,,,,,,,,,,,,Data Deficient,,,,,,
Philogenia expansa,Philogenia_expansa,,,,,,,,,,,,,Vulnerable,,,,,,
Philogenia terraba,Philogenia_terraba,,,,,,,,,,,,,Data Deficient,,,,,,
Philogenia zeteki,Philogenia_zeteki,,,,,,,,,,,,,Least Concern,,,,,,
Chalcopteryx machadoi,Chalcopteryx_machadoi,,,,,,,,,,,,,Data Deficient,,,,,,
Chalcopteryx seabrai,Chalcopteryx_seabrai,,,,,,,,,,,,,Least Concern,,,,,,
Neurobasis daviesi,Neurobasis_daviesi,,,,,,,,,,,,,Vulnerable,,,,,,
Luzonargiolestes baltazarae,Luzonargiolestes_baltazarae,,,,,,,,,,,,,Endangered,,,,,,
Neurobasis luzoniensis,Neurobasis_luzoniensis,,,,,,,,,,,,,Least Concern,,,,,,
Neurobasis subpicta,Neurobasis_subpicta,,,,,,,,,,,,,Vulnerable,,,,,,
Vestalis melania,Vestalis_melania,,,,,,,,,,,,,Least Concern,,,,,,
Mortonagrion astamii,Mortonagrion_astamii,,,,,,,,,,,,,Endangered,,,,,,
Euphaea cora,Euphaea_cora,,,,,,,,,,,,,Vulnerable,,,,,,
Euphaea refulgens,Euphaea_refulgens,,,,,,,,,,,,,Least Concern,,,,,,
Leptogomphus palawanus,Leptogomphus_palawanus,,,,,,,,,,,,,Near Threatened,,,,,,
Leptogomphus semperi,Leptogomphus_semperi,,,,,,,,,,,,,Vulnerable,,,,,,
Agrionoptera bartola,Agrionoptera_bartola,,,,,,,,,,,,,Data Deficient,,,,,,
Diplacina bolivari,Diplacina_bolivari,,,,,,,,,,,,,Least Concern,,,,,,
Rhinocypha colorata,Rhinocypha_colorata,,,,,,,,,,,,,Least Concern,,,,,,
Rhinocypha sanguinolenta,Rhinocypha_sanguinolenta,,,,,,,,,,,,,Near Threatened,,,,,,
Rhinocypha turconii,Rhinocypha_turconii,,,,,,,,,,,,,Least Concern,,,,,,
Telosticta paruatia,Telosticta_paruatia,,,,,,,,,,,,,Vulnerable,,,,,,
Chlorogomphus splendidus,Chlorogomphus_splendidus,,,,,,,,,,,,,Data Deficient,,,,,,
Pericnemis bonita,Pericnemis_bonita,,,,,,,,,,,,,Endangered,,,,,,
Pericnemis flavicornis,Pericnemis_flavicornis,,,,,,,,,,,,,Endangered,,,,,,
Pericnemis incallida,Pericnemis_incallida,,,,,,,,,,,,,Endangered,,,,,,
Pericnemis lestoides,Pericnemis_lestoides,,,,,,,,,,,,,Endangered,,,,,,
Pericnemis melansoni,Pericnemis_melansoni,,,,,,,,,,,,,Critically Endangered,,,,,,
Pseudagrion buenafei,Pseudagrion_buenafei,,,,,,,,,,,,,Vulnerable,,,,,,
Pseudagrion evanidum,Pseudagrion_evanidum,,,,,,,,,,,,,Data Deficient,,,,,,
Stenagrion petermilleri,Stenagrion_petermilleri,,,,,,,,,,,,,Endangered,,,,,,
Procordulia moroensis,Procordulia_moroensis,,,,,,,,,,,,,Near Threatened,,,,,,
Devadatta basilanensis,Devadatta_basilanensis,,,,,,,,,,,,,Least Concern,,,,,,
Gomphidia kirschii,Gomphidia_kirschii,,,,,,,,,,,,,Least Concern,,,,,,
Heliogomphus olivaceus,Heliogomphus_olivaceus,,,,,,,,,,,,,Endangered,,,,,,
Cyrano angustior,Cyrano_angustior,,,,,,,,,,,,,Near Threatened,,,,,,
Ceriagrion lieftincki,Ceriagrion_lieftincki,,,,,,,,,,,,,Least Concern,,,,,,
Pandanobasis cantuga,Pandanobasis_cantuga,,,,,,,,,,,,,Vulnerable,,,,,,
Pandanobasis curacha,Pandanobasis_curacha,,,,,,,,,,,,,Vulnerable,,,,,,
Pandanobasis daku,Pandanobasis_daku,,,,,,,,,,,,,Critically Endangered,,,,,,
Pandanobasis mcgregori,Pandanobasis_mcgregori,,,,,,,,,,,,,Endangered,,,,,,
Paracercion pendulum,Paracercion_pendulum,,,,,,,,,,,,,Data Deficient,,,,,,
Sangabasis braulitae,Sangabasis_braulitae,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis bukid,Sangabasis_bukid,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis bulba,Sangabasis_bulba,,,,,,,,,,,,,Vulnerable,,,,,,
Sangabasis cahilogi,Sangabasis_cahilogi,,,,,,,,,,,,,Vulnerable,,,,,,
Sangabasis carmelae,Sangabasis_carmelae,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis circularis,Sangabasis_circularis,,,,,,,,,,,,,Vulnerable,,,,,,
Sangabasis dentifer,Sangabasis_dentifer,,,,,,,,,,,,,Near Threatened,,,,,,
Sangabasis furcata,Sangabasis_furcata,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis hamis,Sangabasis_hamis,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis janvantoli,Sangabasis_janvantoli,,,,,,,,,,,,,Endangered,,,,,,
Sangabasis zamboanga,Sangabasis_zamboanga,,,,,,,,,,,,,Endangered,,,,,,
Teinobasis annamalija,Teinobasis_annamalija,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis corolla,Teinobasis_corolla,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis filiformis,Teinobasis_filiformis,,,,,,,,,,,,,Near Threatened,,,,,,
Teinobasis filum,Teinobasis_filum,,,,,,,,,,,,,Data Deficient,,,,,,
Teinobasis hamalaineni,Teinobasis_hamalaineni,,,,,,,,,,,,,Endangered,,,,,,
Teinobasis nigra,Teinobasis_nigra,,,,,,,,,,,,,Near Threatened,,,,,,
Teinobasis olivacea,Teinobasis_olivacea,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis ranee,Teinobasis_ranee,,,,,,,,,,,,,Endangered,,,,,,
Teinobasis recurva,Teinobasis_recurva,,,,,,,,,,,,,Endangered,,,,,,
Teinobasis rubricauda,Teinobasis_rubricauda,,,,,,,,,,,,,Vulnerable,,,,,,
Teinobasis strigosa,Teinobasis_strigosa,,,,,,,,,,,,,Near Threatened,,,,,,
Cyclophaea cyanifrons,Cyclophaea_cyanifrons,,,,,,,,,,,,,Vulnerable,,,,,,
Heterophaea barbata,Heterophaea_barbata,,,,,,,,,,,,,Endangered,,,,,,
Paragomphus balneorum,Paragomphus_balneorum,,,,,,,,,,,,,Least Concern,,,,,,
Diplacina guentherpetersi,Diplacina_guentherpetersi,,,,,,,,,,,,,Endangered,,,,,,
Diplacina holgerhungeri,Diplacina_holgerhungeri,,,,,,,,,,,,,Endangered,,,,,,
Diplacina paragua,Diplacina_paragua,,,,,,,,,,,,,Endangered,,,,,,
Lyriothemis latro,Lyriothemis_latro,,,,,,,,,,,,,Vulnerable,,,,,,
Protorthemis intermedia,Protorthemis_intermedia,,,,,,,,,,,,,Data Deficient,,,,,,
Macromia negrito,Macromia_negrito,,,,,,,,,,,,,Endangered,,,,,,
Rhinagrion reinhardi,Rhinagrion_reinhardi,,,,,,,,,,,,,Vulnerable,,,,,,
Rhinagrion schneideri,Rhinagrion_schneideri,,,,,,,,,,,,,Endangered,,,,,,
Asthenocnemis linnaei,Asthenocnemis_linnaei,,,,,,,,,,,,,Endangered,,,,,,
Asthenocnemis stephanodera,Asthenocnemis_stephanodera,,,,,,,,,,,,,Endangered,,,,,,
Coeliccia axinocercus,Coeliccia_axinocercus,,,,,,,,,,,,,Vulnerable,,,,,,
Coeliccia boettcheri,Coeliccia_boettcheri,,,,,,,,,,,,,Vulnerable,,,,,,
Coeliccia dinoceras,Coeliccia_dinoceras,,,,,,,,,,,,,Least Concern,,,,,,
Coeliccia palawana,Coeliccia_palawana,,,,,,,,,,,,,Vulnerable,,,,,,
Coeliccia werneri,Coeliccia_werneri,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis calceata,Igneocnemis_calceata,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis flammea,Igneocnemis_flammea,,,,,,,,,,,,,Least Concern,,,,,,
Igneocnemis fuligifrons,Igneocnemis_fuligifrons,,,,,,,,,,,,,Near Threatened,,,,,,
Igneocnemis haematopus,Igneocnemis_haematopus,,,,,,,,,,,,,Near Threatened,,,,,,
Igneocnemis ignea,Igneocnemis_ignea,,,,,,,,,,,,,Near Threatened,,,,,,
Igneocnemis incisa,Igneocnemis_incisa,,,,,,,,,,,,,Near Threatened,,,,,,
Igneocnemis kaiseri,Igneocnemis_kaiseri,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis melanops,Igneocnemis_melanops,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis nigra,Igneocnemis_nigra,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis odobeni,Igneocnemis_odobeni,,,,,,,,,,,,,Vulnerable,,,,,,
Igneocnemis pistor,Igneocnemis_pistor,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis plebeja,Igneocnemis_plebeja,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis polilloensis,Igneocnemis_polilloensis,,,,,,,,,,,,,Vulnerable,,,,,,
Igneocnemis rubripes,Igneocnemis_rubripes,,,,,,,,,,,,,Vulnerable,,,,,,
Igneocnemis siniae,Igneocnemis_siniae,,,,,,,,,,,,,Endangered,,,,,,
Igneocnemis tendipes,Igneocnemis_tendipes,,,,,,,,,,,,,Least Concern,,,,,,
Prodasineura integra,Prodasineura_integra,,,,,,,,,,,,,Least Concern,,,,,,
Prodasineura palawana,Prodasineura_palawana,,,,,,,,,,,,,Near Threatened,,,,,,
Prodasineura poncei,Prodasineura_poncei,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis appendiculata,Risiocnemis_appendiculata,,,,,,,,,,,,,Least Concern,,,,,,
Risiocnemis arator,Risiocnemis_arator,,,,,,,,,,,,,Near Threatened,,,,,,
Risiocnemis confusa,Risiocnemis_confusa,,,,,,,,,,,,,Near Threatened,,,,,,
Risiocnemis corbeti,Risiocnemis_corbeti,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis elegans,Risiocnemis_elegans,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis erythrura,Risiocnemis_erythrura,,,,,,,,,,,,,Near Threatened,,,,,,
Risiocnemis gracilis,Risiocnemis_gracilis,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis hamalaineni,Risiocnemis_hamalaineni,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis kiautai,Risiocnemis_kiautai,,,,,,,,,,,,,Vulnerable,,,,,,
Risiocnemis laguna,Risiocnemis_laguna,,,,,,,,,,,,,Critically Endangered,,,,,,
Risiocnemis moroensis,Risiocnemis_moroensis,,,,,,,,,,,,,Endangered,,,,,,
Risiocnemis praeusta,Risiocnemis_praeusta,,,,,,,,,,,,,Near Threatened,,,,,,
Risiocnemis rolandmuelleri,Risiocnemis_rolandmuelleri,,,,,,,,,,,,,Vulnerable,,,,,,
Risiocnemis varians,Risiocnemis_varians,,,,,,,,,,,,,Endangered,,,,,,
Drepanosticta acuta,Drepanosticta_acuta,,,,,,,,,,,,,Endangered,,,,,,
Drepanosticta annulata,Drepanosticta_annulata,,,,,,,,,,,,,Data Deficient,,,,,,
Drepanosticta aries,Drepanosticta_aries,,,,,,,,,,,,,Vulnerable,,,,,,
Drepanosticta aurita,Drepanosticta_aurita,,,,,,,,,,,,,Endangered,,,,,,
